Название,Ссылка,Описание,Дата релиза,Жанры,Разработчик,Общая оценка,Кол-во отзывов,Цена
DEATH STRANDING DIRECTOR'S CUT,https://store.steampowered.com/app/1850570/DEATH_STRANDING_DIRECTORS_CUT/?snr=1_7_7_7000_150_1,"From legendary game creator Hideo Kojima comes a genre-defying experience, now expanded in this definitive DIRECTOR’S CUT. As Sam Bridges, your mission is to deliver hope to humanity by connecting the last survivors of a decimated America. Can you reunite the shattered world, one step at a time?","30 Mar, 2022","Action, Adventure, KOJIMA PRODUCTIONS, 505 Games, 505 Games Official",KOJIMA PRODUCTIONS,Very Positive,936,7 750₸
Buckshot Roulette,https://store.steampowered.com/app/2835570/Buckshot_Roulette/?snr=1_7_7_7000_150_1,Play Russian roulette with a 12-gauge shotgun. Four enter. One leaves. Roll the dice with your life. Good luck!,"4 Apr, 2024","Action, Indie, Simulation, Mike Klubnika, CRITICAL REFLEX, CRITICAL REFLEX",Mike Klubnika,Very Positive,"2,445",890₸
Nobody Saves the World,https://store.steampowered.com/app/1432050/Nobody_Saves_the_World/?snr=1_7_7_7000_150_1,"Transform from a featureless nobody into a SLUG, a GHOST and a DRAGON in this new take on Action RPGs from the creators of Guacamelee! Discover 15+ distinct Forms, mix-and-match their abilities, clear evolving dungeons and... SAVE THE WORLD!?","18 Jan, 2022","Action, Adventure, Indie, RPG, DrinkBox Studios, DrinkBox Studios, DrinkBox Studios",DrinkBox Studios,Very Positive,36,2 050₸
V Rising - Eternal Dominance Pack,https://store.steampowered.com/app/3604340/V_Rising__Eternal_Dominance_Pack/?snr=1_7_7_7000_150_1,"About This Content
Embrace your richest palette and indulge in ultimate luxury with the Eternal Dominance pack! From servant to celebrated master, your gilded castle will be the envy of all lesser Vampires. With glittering pools, fountains, and gems, even your prisoners can recline in the bespoke comfort of an affluent Vampire mastermind.The Eternal Dominance Pack contains: 5 Unique Silky Armor PiecesThe complete set can be crafted in-game when you unlock the tailor bench. It costs cloth and coarse thread to make and is purely cosmetic. Place this into a cosmetic armor slot to present yourself as a fearsome creature of the night of the highest status.Opulent Night SabatonsOpulent Night RainmentOpulent Night VambracesOpulent Night LeggingsOpulent Night Visage One Wolf Shapeshift FormTake on the mysterious magical form of the Gilded Darkwolf, an alternate appearance of the Vampire’s wolf shapeshift. Unlock this alternate skin when you unlock the Wolf Shapeshift in-game.Gilded Darkwolf One Mystical Mount's AppearanceA corrupted steed in glorious gold plating and silken purple drapery, glimmering with supernatural power left in your wake as you ride. The Darkvenom Horse Saddle is a craftable item unlocked as you unlock the Horse Saddle in the game.Darkvenom War Saddle  Project the power of Nocturnal OpulenceWherever you rest, let it be as luxurious as you deserve and glimmering with gold and gems worthy of your rich taste. Your instrument of instant transportation, the Waygate, can now be elevated above the common design!Nocturnal Opulence Waygate available in 12 colorsNocturnal Opulence Throne available in 12 colorsNocturnal Opulence Coffin available in 12 colors Spoil your underlings with GrandeurLet it never be said that you are not a benevolent keeper. Gild your prison cells and gift your servants lovely gemstone-topped coffins to rest between their duties.Nocturnal Opulence Prison Cell available in 12 colorsNocturnal Opulence Servant Coffin available in 12 colors Floor-to-Ceiling Evidence of Your AffluenceAdorn your walls, floors, and windows with gleaming gold and splendid drapery. Smooth, intricate patterns will fill your home, delighting the eye of the discerning Vampire and showing your cultivated taste.One Glass Window available in 12 colorsWith 3 Window Curtains available in 12 colorsNocturnal Opulence Gate (with servant lock variant)  available in 12 colors3 Wallpaper Variants available in 12 colorsNocturnal Opulence Wall x 3Nocturnal Opulence Stairs, 4 variants available in 12 colors2 Floor Patterns available in 12 colorsNocturnal Opulence Treasury TilesNocturnal Opulence Pattern Layer Your Lair With Decor to Suit Your Elevated TasteYou deserve a castle to come home to. You’re a hard-working Vampire, and after a day of nightmarish pillaging and utter domination, your castle should provide the lavish comfort you need. The Eternal Dominance Pack contains all the decadence your hungry palette could demand, and more.8 Wall DecorationsNocturnal Opulence Wall Curtain available in 12 colorsNocturnal Opulence Painting x 6Nocturnal Opulence Wall Fountain5 Table Variants available in 12 colors, and unique table settings for each.One Small Nocturnal Opulence Round Table with options for Nocturnal Opulence Hookah, Nocturnal Opulence Feast x 2, Nocturnal Opulence Flowers, or Nocturnal Opulence RefreshmentsOne Rectangular Nocturnal Opulence Table with options for Nocturnal Opulence Hookah, or Nocturnal Opulence Feast x 2One Large Nocturnal Opulence Round Table with options for Nocturnal Opulence Hookah, Nocturnal Opulence Feast, or Nocturnal Opulence Feast & Refreshments2 Large Rectangular Nocturnal Opulence Tables with options for Nocturnal Opulence Refreshments & Hookah, Nocturnal Opulence Feast, or Nocturnal Opulence Feast & Refreshments6 Seating Variants available in 12 colorsNocturnal Opulence PouffeNocturnal Opulence ChairNocturnal Opulence SeatNocturnal Opulence ChairNocturnal Opulence DivanNocturnal Opulence Sofa3 Decorative Pillow Arrangements available in 12 colorsNocturnal Opulence Floor Cushions x 33 Light Sources available in 10 colorsNocturnal Opulence Lamp StandNocturnal Opulence Hanging Lamp x 2One Castle Walkway Carpet available in 12 colorsNocturnal Opulence Carpet - Corner, X-Section, End, Straight, and T-Section Variants5 Decorative Carpet Variants available in 12 colorsNocturnal Opulence Round CarpetNocturnal Opulence Elegant Square CarpetNocturnal Opulence Ornate Square CarpetNocturnal Opulence Rectangular CarpetNocturnal Opulence Rhombus Carpet3 Statues available in 12 colorsNocturnal Opulence Female Statue x 2Nocturnal Opulence Male Statue2 Decorative Pools available in 12 colorsNocturnal Opulence Square PoolNocturnal Opulence Round PoolDISCLAIMER: To access this content, you must play on a game save generated in version 1.1 or later. This DLC is incompatible with saves created before version 1.1 and won’t be available in them. Owning this DLC will not prevent you from playing on saves before version 1.1.","28 Apr, 2025","Action, Adventure, Massively Multiplayer, Stunlock Studios, Stunlock Studios, V Rising",Stunlock Studios,Very Positive,118,5 200₸
Pizza Tower,https://store.steampowered.com/app/2231450/Pizza_Tower/?snr=1_7_7_7000_150_1,"Pizza Tower is a fast paced 2D platformer, with an emphasis on movement, exploration and score attack. Featuring highly stylized pixel art inspired by the cartoons from the '90s, and a highly energetic soundtrack.","26 Jan, 2023","Action, Indie, Tour De Pizza, Tour De Pizza",Tour De Pizza,Overwhelmingly Positive,508,1 239₸
UBOAT,https://store.steampowered.com/app/494840/UBOAT/?snr=1_7_7_7000_150_1,"UBOAT is a simulator of a submarine from WWII era. It is a survival sandbox with crew management mechanics while its primary theme is life of German sailors. The boat is their home, but it can become their grave at any time.","2 Aug, 2024","Action, Indie, RPG, Simulation, Strategy, Deep Water Studio, PlayWay S.A., PlayWay S.A.",Deep Water Studio,Very Positive,229,1 312₸
Human Fall Flat,https://store.steampowered.com/app/477160/Human_Fall_Flat/?snr=1_7_7_7000_150_1,"Human Fall Flat is a hilarious, light-hearted platformer set in floating dreamscapes that can be played solo or with up to 8 players online. Free new levels keep its vibrant community rewarded.","22 Jul, 2016","Adventure, Casual, Indie, Simulation, No Brakes Games, Curve Games, Curve Games",No Brakes Games,Very Positive,723,525₸
Assetto Corsa,https://store.steampowered.com/app/244210/Assetto_Corsa/?snr=1_7_7_7000_150_1,"Assetto Corsa v1.16 introduces the new ""Laguna Seca"" laser-scanned track, 7 new cars among which the eagerly awaited Alfa Romeo Giulia Quadrifoglio! Check the changelog for further info!","19 Dec, 2014","Indie, Racing, Simulation, Sports, Kunos Simulazioni, Kunos Simulazioni, Assetto Corsa",Kunos Simulazioni,Very Positive,"1,488",6 206₸
THE FINALS,https://store.steampowered.com/app/2073850/THE_FINALS/?snr=1_7_7_7000_150_1,"Join THE FINALS, the world-famous, free-to-play, combat-centered game show! Fight alongside your teammates in virtual arenas that you can alter, exploit, and even destroy. Build your own playstyle in this first-person shooter to win escalating tournaments and lasting fame.","7 Dec, 2023","Action, Free To Play, Embark Studios, Embark Studios",Embark Studios,Very Positive,"3,912",Free To Play
Space Engineers,https://store.steampowered.com/app/244850/Space_Engineers/?snr=1_7_7_7000_150_1,"Space Engineers is a sandbox game about engineering, construction, exploration and survival in space and on planets. Players build space ships, space stations, planetary outposts of various sizes and uses, pilot ships and travel through space to explore planets and gather resources to survive.","28 Feb, 2019","Action, Indie, Simulation, Strategy, Keen Software House, Keen Software House, Keen Software House",Keen Software House,Very Positive,343,5 200₸
Team Fortress 2,https://store.steampowered.com/app/440/Team_Fortress_2/?snr=1_7_7_7000_150_1,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!","10 Oct, 2007","Action, Free To Play, Valve, Valve",Valve,Very Positive,"6,244",Free To Play
Drop Duchy,https://store.steampowered.com/app/2525310/Drop_Duchy/?snr=1_7_7_7000_150_1,"Build your duchy piece by piece in this refreshing hybrid rogue-lite game. Use block-dropping mechanics to collect resources, recruit troops to fight against belligerent armies, and let every block shape your realm, leading your path to victory!","5 May, 2025","Adventure, Indie, Strategy, Sleepy Mill Studio, The Arcade Crew, The Arcade Crew",Sleepy Mill Studio,Positive,13,3 690₸
Deadzone: Rogue,https://store.steampowered.com/app/3228590/Deadzone_Rogue/?snr=1_7_7_7000_150_1,"Deadzone: Rogue is a fast-paced roguelite FPS set in deep space. Blast through hordes of enemies with devastating weapons. Define your combat style with powerful augments and upgrades. Grow stronger with each death, solo or in co-op. Fight. Die. Revive. Repeat.","29 Apr, 2025","Action, Early Access, Prophecy Games, Prophecy Games",Prophecy Games,Very Positive,"1,545",5 120₸
Contraband Police,https://store.steampowered.com/app/756800/Contraband_Police/?snr=1_7_7_7000_150_1,"Take over the duties of a border guard inspector in a communist country of the 80's. Smuggling, corruption and forgery are the order of the day here. Be vigilant and earn the respect of your superiors.","8 Mar, 2023","Action, Adventure, Simulation, Crazy Rocks, PlayWay S.A., PlayWay S.A.",Crazy Rocks,Very Positive,306,3 599₸
Ratopia,https://store.steampowered.com/app/2244130/Ratopia/?snr=1_7_7_7000_150_1,"Ratopia is a new game that has combined elements of both strategic survival and city building. With plenty of content available, and more planned, enjoy a vast world to adventure and populate with citizens! Build your own economical system to sustain your ideal city of Ratopia.","30 Apr, 2025","Adventure, Casual, Indie, Simulation, Strategy, Cassel Games, Cassel Games, Cassel Games",Cassel Games,Mostly Positive,200,1 750₸
Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_7000_150_1,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..","8 Nov, 2013","Indie, RPG, Simulation, Early Access, The Indie Stone, The Indie Stone",The Indie Stone,Very Positive,"3,820",5 200₸
WARNO,https://store.steampowered.com/app/1611600/WARNO/?snr=1_7_7_7000_150_1,"Realistic, immersive, breathtaking. WARNO is the ultimate World War III battle simulator from the masters of strategy, Eugen Systems. A Cold War turns decisively hot as you command hundreds of units on a beautiful and brutal battlefield. Outsmart, outfight, and lead your forces to total victory.","23 May, 2024","Action, Indie, Simulation, Strategy, Eugen Systems, Eugen Systems, Eugen Systems' Wargame",Eugen Systems,Mixed,231,15 499₸
TEKKEN 7,https://store.steampowered.com/app/389730/TEKKEN_7/?snr=1_7_7_7000_150_1,"Discover the epic conclusion of the long-time clan warfare between members of the Mishima family. Powered by Unreal Engine 4, the legendary fighting game franchise fights back with stunning story-driven cinematic battles and intense duels that can be enjoyed with friends and rivals.","1 Jun, 2017","Action, Sports, BANDAI NAMCO Studios Inc., BANDAI NAMCO Entertainment, FRANCHISE",BANDAI NAMCO Studios Inc.,Very Positive,327,16 856₸
Stardew Valley,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_7000_150_1,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?","26 Feb, 2016","Indie, RPG, Simulation, ConcernedApe, ConcernedApe",ConcernedApe,Overwhelmingly Positive,"8,507",2 400₸
ARK: Survival Evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_7000_150_1,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!","27 Aug, 2017","Action, Adventure, Indie, Massively Multiplayer, RPG, Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC, Studio Wildcard, Snail Games USA, Snail Games USA",Studio Wildcard,Very Positive,"2,687",4 100₸
Backrooms: Escape Together,https://store.steampowered.com/app/2141730/Backrooms_Escape_Together/?snr=1_7_7_7000_150_1,"A visually lifelike co-op horror for 1-6 people. Journey through 9 procedurally generated levels, using what's available to survive and progress deeper into the Backrooms.","18 Oct, 2022","Action, Adventure, Casual, Indie, Early Access, Triiodide Studios, Triiodide Studios",Triiodide Studios,Very Positive,"1,218",2 320₸
Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_7000_150_1,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,"29 Nov, 2006","Casual, Indie, Simulation, Facepunch Studios, Valve",Facepunch Studios,Overwhelmingly Positive,"6,514",2 250₸
The Binding of Isaac: Rebirth,https://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/?snr=1_7_7_7000_150_1,"The Binding of Isaac: Rebirth is a randomly generated action RPG shooter with heavy Rogue-like elements. Following Isaac on his journey players will find bizarre treasures that change Isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.","4 Nov, 2014","Action, Nicalis, Inc., Edmund McMillen, Nicalis, Inc., Binding of Isaac","Nicalis, Inc.",Very Positive,"3,585",2 400₸
The Forest,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_7000_150_1,"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.","30 Apr, 2018","Action, Adventure, Indie, Simulation, Endnight Games Ltd, Endnight Games Ltd",Endnight Games Ltd,Overwhelmingly Positive,"3,742",2 650₸
Little Nightmares,https://store.steampowered.com/app/424840/Little_Nightmares/?snr=1_7_7_7000_150_1,"Take on the role of Six, a lone child lost in a massive metal vessel known as the Maw, surrounded by dangerous, distorted versions of adults. You’ll need to do your best to escape in one piece or your fate will be worse than you ever dared dream.","27 Apr, 2017","Adventure, Tarsier Studios, BANDAI NAMCO Entertainment, Little Nightmares",Tarsier Studios,Overwhelmingly Positive,433,6 300₸
Assetto Corsa Competizione,https://store.steampowered.com/app/805550/Assetto_Corsa_Competizione/?snr=1_7_7_7000_150_1,"Assetto Corsa Competizione, the official GT World Challenge videogame. Thanks to the extraordinary quality of simulation, you will experience the atmosphere of the GT3 championship. Compete against official drivers, teams, cars and official circuits reproduced to the highest quality ever seen.","29 May, 2019","Racing, Simulation, Sports, Kunos Simulazioni, 505 Games, Assetto Corsa",Kunos Simulazioni,Very Positive,257,20 147₸
Ready or Not,https://store.steampowered.com/app/1144200/Ready_or_Not/?snr=1_7_7_7000_150_1,"Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.","13 Dec, 2023","Action, Adventure, Indie, VOID Interactive, VOID Interactive",VOID Interactive,Very Positive,"3,544",7 700₸
RimWorld,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_7000_150_1,"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.","17 Oct, 2018","Indie, Simulation, Strategy, Ludeon Studios, Ludeon Studios",Ludeon Studios,Overwhelmingly Positive,"1,627",7 500₸
Rising Storm 2: Vietnam,https://store.steampowered.com/app/418460/Rising_Storm_2_Vietnam/?snr=1_7_7_7000_150_1,"Red Orchestra Series' take on Vietnam: 64-player MP matches; 20+ maps; US Army & Marines, PAVN/NVA, NLF/VC; Australians and ARVN forces; 50+ weapons; 4 flyable helicopters; mines, traps and tunnels; Brutal. Authentic. Gritty. Character customization. And napalm in the morning.","30 May, 2017","Action, Massively Multiplayer, Simulation, Strategy, Antimatter Games, Tripwire Interactive, Tripwire Interactive, Tripwire Interactive",Antimatter Games,Very Positive,381,3 300₸
Sons Of The Forest,https://store.steampowered.com/app/1326470/Sons_Of_The_Forest/?snr=1_7_7_7000_150_1,"Sent to find a missing billionaire on a remote island, you find yourself in a cannibal-infested hellscape. Craft, build, and struggle to survive, alone or with friends, in this terrifying new open-world survival horror simulator.","22 Feb, 2024","Action, Adventure, Indie, Simulation, Endnight Games Ltd, Newnight",Endnight Games Ltd,Very Positive,"5,065",7 600₸
Red Dead Redemption 2,https://store.steampowered.com/app/1174180/,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.","5 Dec, 2019","Action, Adventure, Rockstar Games, Rockstar Games, Red Dead Redemption",Rockstar Games,Very Positive,"14,038",29 999₸
Hogwarts Legacy,https://store.steampowered.com/app/990080/,"Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.","10 Feb, 2023","Action, Adventure, RPG, Avalanche Software, Warner Bros. Games, WB Games",Avalanche Software,Very Positive,"2,570",22 999₸
STAR WARS Jedi: Survivor™,https://store.steampowered.com/app/1774580/,"The story of Cal Kestis continues in STAR WARS Jedi: Survivor™, a galaxy-spanning, third-person, action-adventure game.","27 Apr, 2023","Action, Adventure, Respawn, Electronic Arts, Star Wars",Respawn,Mostly Positive,967,7 000₸
Dying Light 2 Stay Human: Reloaded Edition,https://store.steampowered.com/app/534380/,"Humanity is fighting a losing battle against the virus. Experience a post-apocalyptic open world overrun by hordes of zombies, where your parkour and combat skills are key to survival. Traverse the City freely during the day, but watch the monsters take over during the night.","3 Feb, 2022","Action, Adventure, RPG, Techland, Techland, Dying Light",Techland,Mostly Positive,"1,621",22 500₸
Forza Horizon 5,https://store.steampowered.com/app/1551360/,"Explore the vibrant open world landscapes of Mexico with limitless, fun driving action in the world’s greatest cars.","8 Nov, 2021","Action, Adventure, Racing, Simulation, Sports, Playground Games, Xbox Game Studios, Forza",Playground Games,Very Positive,"3,820",9 999₸
Monster Hunter: World,https://store.steampowered.com/app/582010/,"Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.","8 Aug, 2018","Action, CAPCOM Co., Ltd., CAPCOM Co., Ltd., Monster Hunter","CAPCOM Co., Ltd.",Very Positive,"1,779",3 035₸
Metro Exodus,https://store.steampowered.com/app/412020/,"Flee the shattered ruins of the Moscow Metro and embark on an epic, continent-spanning journey across the post-apocalyptic Russian wilderness. Explore vast, non-linear levels, lose yourself in an immersive, sandbox survival experience, and follow a thrilling story-line that spans an entire year in the greatest Metro adventure yet.","14 Feb, 2019","Action, 4A Games, Deep Silver, Metro",4A Games,Very Positive,"1,064",11 000₸
Marvel’s Spider-Man Remastered,https://store.steampowered.com/app/1817070/,"In Marvel’s Spider-Man Remastered, the worlds of Peter Parker and Spider-Man collide in an original action-packed story. Play as an experienced Peter Parker, fighting big crime and iconic villains in Marvel’s New York. Web-swing through vibrant neighborhoods and defeat villains with epic takedowns.","12 Aug, 2022","Action, Adventure, Casual, Insomniac Games, Nixxes Software, PlayStation Publishing LLC, Marvel's Spider-Man",Insomniac Games,Overwhelmingly Positive,655,23 499₸
Metro Exodus,https://store.steampowered.com/app/412020/Metro_Exodus/,"Flee the shattered ruins of the Moscow Metro and embark on an epic, continent-spanning journey across the post-apocalyptic Russian wilderness. Explore vast, non-linear levels, lose yourself in an immersive, sandbox survival experience, and follow a thrilling story-line that spans an entire year in the greatest Metro adventure yet.","14 Feb, 2019","Action, 4A Games, Deep Silver, Metro",4A Games,Very Positive,"1,049",11 000₸
EA SPORTS FC™ 25,https://store.steampowered.com/app/2669320/EA_SPORTS_FC_25/,"EA SPORTS FC™ 25 gives you more ways to win for the club. Team up with friends in your favourite modes with the new 5v5 Rush, and manage your club to victory as FC IQ delivers more tactical control than ever before.","26 Sep, 2024","Simulation, Sports, EA Canada, EA Romania, Electronic Arts, EA Sports",EA Canada,Mixed,"5,029",6 899₸
Need for Speed™ Unbound,https://store.steampowered.com/app/1846380/Need_for_Speed_Unbound/,"Race to the top, definitely don’t flop. Outsmart the cops, and enter weekly qualifiers for The Grand: the ultimate street race. Pack your garage with precision-tuned, custom rides, and light up the streets with your style.","1 Dec, 2022","Action, Racing, Criterion Games, Electronic Arts, Need for Speed",Criterion Games,Mixed,688,3 219₸
Mortal Kombat 1,https://store.steampowered.com/app/1971870/Mortal_Kombat_1/,"Discover a reborn Mortal Kombat™ Universe created by the Fire God Liu Kang. Mortal Kombat™ 1 ushers in a new era of the iconic franchise with a new fighting system, game modes, and fatalities!","19 Sep, 2023","Action, NetherRealm Studios, QLOC, Warner Bros. Games, WB Games, Mortal Kombat",NetherRealm Studios,Mostly Positive,611,19 999₸
Left 4 Dead 2,https://store.steampowered.com/app/550/Left_4_Dead_2/,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.","16 Nov, 2009","Action, Valve, Valve",Valve,Overwhelmingly Positive,"5,499",2 900₸
Cyberpunk 2077,https://store.steampowered.com/app/1091500/Cyberpunk_2077/,"Cyberpunk 2077 is an open-world action-adventure RPG set in the futuristic metropolis of Night City, where power, luxury, and body modifications are prized above all else.","10 Dec, 2020",RPG,CD PROJEKT RED,Very positive,"742,118",17 999₸
Grand Theft Auto V,https://store.steampowered.com/app/3240220/Grand_Theft_Auto_V_Enhanced/,"Experience the hits Grand Theft Auto V and Grand Theft Auto Online, enhanced for a new generation. Stunning graphics, faster loading times, 3D audio and more, plus exclusive content for GTA Online players.","4 Mar, 2025","Action, Adventure, Racing",Rockstar Games,Mixed,"42,821",7 649₸